"","Location","Day","TimeSlot","Availability","AvailabilityDescription"
"1","A1","Monday","08:00 - 08:50",1,"Not Available"
"2","A1","Monday","08:55 - 09:45",1,"Not Available"
"3","A1","Monday","10:15 - 11:05",1,"Not Available"
"4","A1","Monday","11:10 - 12:00",1,"Not Available"
"5","A1","Monday","13:00 - 14:00",0,"Available"
"6","A1","Monday","14:00 - 15:00",1,"Not Available"
"7","A1","Monday","15:00 - 16:00",1,"Not Available"
"8","A1","Monday","16:00 - 17:00",0,"Available"
"9","A1","Monday","17:00 - 17:45",0,"Available"
"10","A1","Tuesday","08:00 - 08:50",0,"Available"
"11","A1","Tuesday","08:55 - 09:45",1,"Not Available"
"12","A1","Tuesday","10:15 - 11:05",1,"Not Available"
"13","A1","Tuesday","11:10 - 12:00",1,"Not Available"
"14","A1","Tuesday","13:00 - 14:00",1,"Not Available"
"15","A1","Tuesday","14:00 - 15:00",1,"Not Available"
"16","A1","Tuesday","15:00 - 16:00",0,"Available"
"17","A1","Tuesday","16:00 - 17:00",0,"Available"
"18","A1","Tuesday","17:00 - 17:45",0,"Available"
"19","A1","Wednesday","08:00 - 08:50",1,"Not Available"
"20","A1","Wednesday","08:55 - 09:45",1,"Not Available"
"21","A1","Wednesday","10:15 - 11:05",0,"Available"
"22","A1","Wednesday","11:10 - 12:00",1,"Not Available"
"23","A1","Wednesday","13:00 - 14:00",1,"Not Available"
"24","A1","Wednesday","14:00 - 15:00",1,"Not Available"
"25","A1","Wednesday","15:00 - 16:00",0,"Available"
"26","A1","Wednesday","16:00 - 17:00",0,"Available"
"27","A1","Wednesday","17:00 - 17:45",0,"Available"
"28","A1","Thursday","08:00 - 08:50",1,"Not Available"
"29","A1","Thursday","08:55 - 09:45",1,"Not Available"
"30","A1","Thursday","10:15 - 11:05",1,"Not Available"
"31","A1","Thursday","11:10 - 12:00",1,"Not Available"
"32","A1","Thursday","13:00 - 14:00",0,"Available"
"33","A1","Thursday","14:00 - 15:00",0,"Available"
"34","A1","Thursday","15:00 - 16:00",0,"Available"
"35","A1","Thursday","16:00 - 17:00",0,"Available"
"36","A1","Thursday","17:00 - 17:45",0,"Available"
"37","A1","Friday","08:00 - 08:50",0,"Available"
"38","A1","Friday","08:55 - 09:45",0,"Available"
"39","A1","Friday","10:15 - 11:05",1,"Not Available"
"40","A1","Friday","11:10 - 12:00",1,"Not Available"
"41","A1","Friday","13:00 - 14:00",0,"Available"
"42","A1","Friday","14:00 - 15:00",0,"Available"
"43","A1","Friday","15:00 - 16:00",0,"Available"
"44","A1","Friday","16:00 - 17:00",0,"Available"
"45","A1","Friday","17:00 - 17:45",0,"Available"
"46","A1","Saturday","08:00 - 08:50",0,"Available"
"47","A1","Saturday","08:55 - 09:45",0,"Available"
"48","A1","Saturday","10:15 - 11:05",0,"Available"
"49","A1","Saturday","11:10 - 12:00",0,"Available"
"50","A1","Saturday","13:00 - 14:00",0,"Available"
"51","A1","Saturday","14:00 - 15:00",0,"Available"
"52","A1","Saturday","15:00 - 16:00",0,"Available"
"53","A1","Saturday","16:00 - 17:00",0,"Available"
"54","A1","Saturday","17:00 - 17:45",0,"Available"
"55","A1","Sunday","08:00 - 08:50",0,"Available"
"56","A1","Sunday","08:55 - 09:45",0,"Available"
"57","A1","Sunday","10:15 - 11:05",0,"Available"
"58","A1","Sunday","11:10 - 12:00",0,"Available"
"59","A1","Sunday","13:00 - 14:00",0,"Available"
"60","A1","Sunday","14:00 - 15:00",0,"Available"
"61","A1","Sunday","15:00 - 16:00",0,"Available"
"62","A1","Sunday","16:00 - 17:00",0,"Available"
"63","A1","Sunday","17:00 - 17:45",0,"Available"
