Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Forestry and Environmental Science,Tuesday,1970-01-01T08:55:00Z,1970-01-01T15:00:00Z,Practicals,EMF P,EMF,EMF P Practicals,2,P,Practicals,NA,08:55-15:00,General,Biology
Forestry and Environmental Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Wood Science and Forest Based Industries,EMF 216 2.0,EMF,EMF 216 2.0 Wood Science and Forest Based Industries,2,F1,Lecture,Prof. Hiran Amarasekera,08:00-09:45,General,Biology
Forestry and Environmental Science,Friday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Principles in Hydrology and Climatology,EMF 222 1.0,EMF,EMF 222 1.0 Principles in Hydrology and Climatology,2,F1,Lecture,Dr. Thilak Chandrathilake,11:10-12:00,General,Biology
Forestry and Environmental Science,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Tree Diversity and Systematics,EMF 218 1.0,EMF,EMF 218 1.0 Tree Diversity and Systematics,2,F1,Lecture,Snr. Prof. BMP Singhakumara,13:00-14:00,General,Biology
Forestry and Environmental Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Environmental Chemistry,EMF 102 1.0,EMF,EMF 102 1.0 Environmental Chemistry,1,F1,Lecture,Dr. Chaamila Pathirana,08:00-09:45,General,Biology
Forestry and Environmental Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Forest Biology,EMF 108 1.0,EMF,EMF 108 1.0 Forest Biology,1,F1,Lecture,Prof. Hiran Amarasekera,08:00-09:45,General,Biology
Forestry and Environmental Science,Friday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Practicals,EMF P,EMF,EMF P Practicals,1,P,Practicals,NA,08:55-16:00,General,Biology
Forestry and Environmental Science,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Principles of Wildlife Ecology,EMF 117 1.0,EMF,EMF 117 1.0 Principles of Wildlife Ecology,1,F1,Lecture,Prof. Priyan Perera,13:00-15:00,General,Biology
Forestry and Environmental Science,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,General Geology and Soil Science,EMF 114 1.0,EMF,EMF 114 1.0 General Geology and Soil Science,1,F1,Lecture,Dr. Daham Jayawardana,13:00-15:00,General,Biology
Forestry and Environmental Science,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Ecotourism Planning and Management,EMF 330 1.0,EMF,EMF 330 1.0 Ecotourism Planning and Management,3,F1,Lecture,Prof. Priyan Perera,13:00-15:00,General,Biology
