"","...1","X","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge","Lecturing Hours","Time Slot"
"1",4,4,"Forestry and Environmental Science",0,1,0,0,"Wednesday",08:00:00,09:45:00,2,"Wood Science and Forest Based Industries","EMF 216 2.0","EMF","EMF 216 2.0 Wood Science and Forest Based Industries",2,"F1","Lecture",1,0,1,"Prof. Hiran Amarasekera",2,"08:00:00 - 09:45:00"
"2",7,7,"Forestry and Environmental Science",0,1,0,0,"Friday",11:10:00,12:00:00,1,"Principles in Hydrology and Climatology","EMF 222 1.0","EMF","EMF 222 1.0 Principles in Hydrology and Climatology",2,"F1","Lecture",1,0,1,"Dr. Thilak Chandrathilake",1,"11:10:00 - 12:00:00"
"3",10,10,"Forestry and Environmental Science",0,1,0,0,"Friday",13:00:00,14:00:00,1,"Tree Diversity and Systematics","EMF 218 1.0","EMF","EMF 218 1.0 Tree Diversity and Systematics",2,"F1","Lecture",1,0,1,"Snr. Prof. BMP Singhakumara",1,"13:00:00 - 14:00:00"
"4",13,13,"Forestry and Environmental Science",0,1,0,0,"Thursday",08:00:00,09:45:00,1,"Environmental Chemistry","EMF 102 1.0","EMF","EMF 102 1.0 Environmental Chemistry",1,"F1","Lecture",1,0,1,"Dr. Chaamila Pathirana",2,"08:00:00 - 09:45:00"
"5",16,16,"Forestry and Environmental Science",0,1,0,0,"Thursday",08:00:00,09:45:00,1,"Forest Biology","EMF 108 1.0","EMF","EMF 108 1.0 Forest Biology",1,"F1","Lecture",1,0,2,"Prof. Hiran Amarasekera",2,"08:00:00 - 09:45:00"
"6",22,22,"Forestry and Environmental Science",0,1,0,0,"Tuesday",13:00:00,15:00:00,1,"Principles of Wildlife Ecology","EMF 117 1.0","EMF","EMF 117 1.0 Principles of Wildlife Ecology",1,"F1","Lecture",1,0,1,"Prof. Priyan Perera",2,"13:00:00 - 15:00:00"
"7",25,25,"Forestry and Environmental Science",0,1,0,0,"Tuesday",13:00:00,15:00:00,1,"General Geology and Soil Science","EMF 114 1.0","EMF","EMF 114 1.0 General Geology and Soil Science",1,"F1","Lecture",1,0,2,"Dr. Daham Jayawardana",2,"13:00:00 - 15:00:00"
"8",28,28,"Forestry and Environmental Science",0,1,0,0,"Monday",13:00:00,15:00:00,1,"Ecotourism Planning and Management","EMF 330 1.0","EMF","EMF 330 1.0 Ecotourism Planning and Management",3,"F1","Lecture",1,1,1,"Prof. Priyan Perera",2,"13:00:00 - 15:00:00"
"9",31,31,"Forestry and Environmental Science",0,1,0,0,"Monday",13:00:00,15:00:00,1,"Project Planning and Analysis","EMF 331 1.0","EMF","EMF 331 1.0 Project Planning and Analysis",3,"F1","Lecture",1,1,2,"Prof. Prasanthi Gunawardena",2,"13:00:00 - 15:00:00"
"10",34,34,"Forestry and Environmental Science",0,1,0,0,"Tuesday",13:00:00,15:00:00,1,"Integrated Resource Management","EMF 370 1.0","EMF","EMF 370 1.0 Integrated Resource Management",3,"F1","Lecture",1,1,1,"Prof. Prasanthi Gunawardena",2,"13:00:00 - 15:00:00"
"11",37,37,"Forestry and Environmental Science",0,1,0,0,"Tuesday",13:00:00,15:00:00,1,"Forest Management","EMF 307 1.0","EMF","EMF 307 1.0 Forest Management",3,"F2","Lecture",1,1,2,"Prof. Upul Subasinghe",2,"13:00:00 - 15:00:00"
"12",40,40,"Forestry and Environmental Science",0,1,0,0,"Wednesday",08:00:00,09:45:00,1,"Land Use Planning and Management","EMF 322 1.0","EMF","EMF 322 1.0 Land Use Planning and Management",3,"F3","Lecture",1,1,1,"Prof. Padma Weerakoon",2,"08:00:00 - 09:45:00"
"13",41,41,"Forestry and Environmental Science",0,1,0,0,"Wednesday",08:00:00,09:45:00,1,"Land Use Planning and Management","EMF 322 1.0","EMF","EMF 322 1.0 Land Use Planning and Management",3,"F3","Lecture",1,1,1,"Mr. B.A. Jayananda",2,"08:00:00 - 09:45:00"
"14",43,43,"Forestry and Environmental Science",0,1,0,0,"Thursday",13:00:00,15:00:00,1,"Advanced Resource Economics","EMF 359 1.0","EMF","EMF 359 1.0 Advanced Resource Economics",3,"F1","Lecture",0,1,1,"Prof. Prasanthi Gunawardena",2,"13:00:00 - 15:00:00"
"15",46,46,"Forestry and Environmental Science",0,1,0,0,"Thursday",13:00:00,15:00:00,1,"Forest Pathology and Entomology","EMF 318 1.0","EMF","EMF 318 1.0 Forest Pathology and Entomology",3,"F1","Lecture",1,1,1,"Dr. Wathsala Udari",2,"13:00:00 - 15:00:00"
"16",49,49,"Forestry and Environmental Science",0,1,0,0,"Thursday",15:00:00,17:00:00,1,"Agroforestry and Social Forestry","EMF 311 1.0","EMF","EMF 311 1.0 Agroforestry and Social Forestry",3,"F1","Lecture",1,1,1,"Ms. Nileththi Shilpa",2,"15:00:00 - 17:00:00"
"17",52,52,"Forestry and Environmental Science",0,1,0,0,"Monday",11:10:00,12:00:00,1,"Environmental Microbiology","EMF 353 1.0","EMF","EMF 353 1.0 Environmental Microbiology",3,"SP - Forestry","Lecture",0,1,1,"Snr. Prof. M. M. Pathmalal",1,"11:10:00 - 12:00:00"
"18",55,55,"Forestry and Environmental Science",0,1,0,0,"Tuesday",15:00:00,17:00:00,1,"Research Methodology","EMF 357 1.0","EMF","EMF 357 1.0 Research Methodology",3,"SP - Forestry","Lecture",0,1,1,"Prof. Upul Subasinghe",2,"15:00:00 - 17:00:00"
"19",58,58,"Forestry and Environmental Science",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Urban Forestry","EMF 371 1.0","EMF","EMF 371 1.0 Urban Forestry",3,"F1","Lecture",0,1,1,"Dr. Thilak Chandrathilake",2,"13:00:00 - 15:00:00"
"20",61,61,"Forestry and Environmental Science",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Cleaner Production and Green Technology","EMF 369 1.0","EMF","EMF 369 1.0 Cleaner Production and Green Technology",3,"F1","Lecture",0,1,2,"Dr. Chaamila Pathirana",2,"13:00:00 - 15:00:00"
"21",64,64,"Forestry and Environmental Science",0,1,0,0,"Thursday",08:00:00,09:45:00,1,"Indigenous Knowledge in Natural Resource Management","EMF 361 1.0","EMF","EMF 361 1.0 Indigenous Knowledge in Natural Resource Management",3,"SP - Forestry","Lecture",0,1,1,"Prof. Danister Perera",2,"08:00:00 - 09:45:00"
"22",67,67,"Forestry and Environmental Science",0,1,0,0,"Thursday",08:00:00,09:45:00,1,"Green Business Development","EMF 362 1.0","EMF","EMF 362 1.0 Green Business Development",3,"SP - Forestry","Lecture",0,1,2,"Snr. Prof. Rohini Samarasinghe",2,"08:00:00 - 09:45:00"
"23",70,70,"Forestry and Environmental Science",0,1,0,0,"Thursday",10:15:00,12:00:00,1,"Advanced Silviculture","EMF 358 1.0","EMF","EMF 358 1.0 Advanced Silviculture",3,"F1","Lecture",0,1,1,"Ms. Nileththi Shilpa",2,"10:15:00 - 12:00:00"
"24",73,73,"Forestry and Environmental Science",0,1,0,0,"Tuesday",13:00:00,15:00:00,1,"Forestry for Rural Development","EMF 459 1.0","EMF","EMF 459 1.0 Forestry for Rural Development",4,"SP - Forestry","Lecture",0,1,1,"Ms. Nileththi Shilpa",2,"13:00:00 - 15:00:00"
"25",76,76,"Forestry and Environmental Science",0,1,0,0,"Wednesday",10:15:00,12:00:00,1,"Wood Based Composites","EMF 458 1.0","EMF","EMF 458 1.0 Wood Based Composites",4,"SP - Forestry","Lecture",0,1,1,"Prof. Hiran Amarasekera",2,"10:15:00 - 12:00:00"
"26",79,79,"Forestry and Environmental Science",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Land Reclamation and Soil Remediation","EMF 472 1.0","EMF","EMF 472 1.0 Land Reclamation and Soil Remediation",4,"SP - Forestry","Lecture",0,1,1,"Dr. Daham Jayawardana",2,"13:00:00 - 15:00:00"
