Department,Day,Time Slot,Total Number of Lectures
All,Friday,08:00-08:50,12
All,Friday,08:55-09:45,12
All,Friday,10:15-11:05,20
All,Friday,11:10-12:00,17
All,Friday,13:00-14:00,15
All,Friday,14:00-15:00,11
All,Friday,15:00-16:00,4
All,Friday,16:00-17:00,1
All,Monday,08:00-08:50,20
All,Monday,08:55-09:45,18
All,Monday,10:15-11:05,23
All,Monday,11:10-12:00,21
All,Monday,13:00-14:00,18
All,Monday,14:00-15:00,23
All,Monday,15:00-16:00,13
All,Monday,16:00-17:00,10
All,Saturday,08:00-08:50,1
All,Saturday,08:55-09:45,4
All,Saturday,10:15-11:05,4
All,Saturday,11:10-12:00,3
All,Saturday,13:00-14:00,2
All,Saturday,14:00-15:00,2
All,Saturday,15:00-16:00,1
All,Saturday,16:00-17:00,1
All,Sunday,08:55-09:45,1
All,Sunday,10:15-11:05,1
All,Sunday,11:10-12:00,1
All,Sunday,13:00-14:00,1
All,Sunday,14:00-15:00,1
All,Sunday,15:00-16:00,1
All,Thursday,08:00-08:50,21
All,Thursday,08:55-09:45,22
All,Thursday,10:15-11:05,28
All,Thursday,11:10-12:00,27
All,Thursday,13:00-14:00,21
All,Thursday,14:00-15:00,17
All,Thursday,15:00-16:00,2
All,Thursday,16:00-17:00,2
All,Tuesday,08:00-08:50,14
All,Tuesday,08:55-09:45,16
All,Tuesday,10:15-11:05,24
All,Tuesday,11:10-12:00,26
All,Tuesday,13:00-14:00,25
All,Tuesday,14:00-15:00,23
All,Tuesday,15:00-16:00,11
All,Tuesday,16:00-17:00,7
All,Wednesday,08:00-08:50,20
All,Wednesday,08:55-09:45,22
All,Wednesday,10:15-11:05,19
All,Wednesday,11:10-12:00,21
All,Wednesday,13:00-14:00,21
All,Wednesday,14:00-15:00,18
All,Wednesday,15:00-16:00,6
All,Wednesday,16:00-17:00,6
Botany,Friday,13:00-14:00,1
Botany,Friday,14:00-15:00,1
Botany,Monday,08:00-08:50,3
Botany,Monday,08:55-09:45,3
Botany,Monday,10:15-11:05,1
Botany,Monday,11:10-12:00,1
Botany,Monday,13:00-14:00,1
Botany,Monday,14:00-15:00,3
Botany,Monday,15:00-16:00,3
Botany,Monday,16:00-17:00,2
Botany,Saturday,08:55-09:45,1
Botany,Saturday,10:15-11:05,1
Botany,Saturday,11:10-12:00,1
Botany,Saturday,13:00-14:00,1
Botany,Saturday,14:00-15:00,1
Botany,Sunday,08:55-09:45,1
Botany,Sunday,10:15-11:05,1
Botany,Sunday,11:10-12:00,1
Botany,Sunday,13:00-14:00,1
Botany,Sunday,14:00-15:00,1
Botany,Sunday,15:00-16:00,1
Botany,Thursday,08:00-08:50,1
Botany,Thursday,08:55-09:45,1
Botany,Thursday,10:15-11:05,4
Botany,Thursday,11:10-12:00,4
Botany,Thursday,13:00-14:00,1
Botany,Thursday,14:00-15:00,1
Botany,Tuesday,08:00-08:50,2
Botany,Tuesday,08:55-09:45,2
Botany,Tuesday,10:15-11:05,3
Botany,Tuesday,11:10-12:00,3
Botany,Tuesday,13:00-14:00,1
Botany,Tuesday,14:00-15:00,1
Botany,Tuesday,15:00-16:00,2
Botany,Tuesday,16:00-17:00,1
Botany,Wednesday,08:00-08:50,1
Botany,Wednesday,08:55-09:45,1
Botany,Wednesday,13:00-14:00,5
Botany,Wednesday,14:00-15:00,5
Botany,Wednesday,15:00-16:00,1
Botany,Wednesday,16:00-17:00,1
Chemistry,Friday,10:15-11:05,1
Chemistry,Friday,11:10-12:00,1
Chemistry,Monday,08:00-08:50,3
Chemistry,Monday,08:55-09:45,1
Chemistry,Monday,10:15-11:05,3
Chemistry,Monday,11:10-12:00,3
Chemistry,Monday,13:00-14:00,3
Chemistry,Monday,14:00-15:00,2
Chemistry,Monday,15:00-16:00,1
Chemistry,Monday,16:00-17:00,3
Chemistry,Thursday,08:00-08:50,2
Chemistry,Thursday,08:55-09:45,2
Chemistry,Thursday,10:15-11:05,2
Chemistry,Thursday,11:10-12:00,2
Chemistry,Thursday,13:00-14:00,2
Chemistry,Thursday,14:00-15:00,1
Chemistry,Tuesday,08:00-08:50,4
Chemistry,Tuesday,08:55-09:45,1
Chemistry,Tuesday,10:15-11:05,1
Chemistry,Tuesday,11:10-12:00,1
Chemistry,Tuesday,13:00-14:00,1
Chemistry,Tuesday,16:00-17:00,1
Chemistry,Wednesday,08:00-08:50,1
Chemistry,Wednesday,08:55-09:45,2
Chemistry,Wednesday,10:15-11:05,2
Chemistry,Wednesday,11:10-12:00,3
Chemistry,Wednesday,13:00-14:00,1
Computer Science,Friday,10:15-11:05,1
Computer Science,Friday,11:10-12:00,1
Computer Science,Monday,08:00-08:50,2
Computer Science,Monday,08:55-09:45,2
Computer Science,Monday,10:15-11:05,2
Computer Science,Monday,11:10-12:00,2
Computer Science,Monday,13:00-14:00,1
Computer Science,Monday,14:00-15:00,2
Computer Science,Monday,15:00-16:00,1
Computer Science,Thursday,08:00-08:50,1
Computer Science,Thursday,08:55-09:45,1
Computer Science,Thursday,10:15-11:05,2
Computer Science,Thursday,11:10-12:00,2
Computer Science,Thursday,13:00-14:00,3
Computer Science,Thursday,14:00-15:00,3
Computer Science,Tuesday,08:00-08:50,3
Computer Science,Tuesday,08:55-09:45,3
Computer Science,Tuesday,10:15-11:05,1
Computer Science,Tuesday,11:10-12:00,1
Computer Science,Tuesday,13:00-14:00,1
Computer Science,Tuesday,14:00-15:00,1
Computer Science,Tuesday,15:00-16:00,1
Computer Science,Tuesday,16:00-17:00,1
Computer Science,Wednesday,08:00-08:50,3
Computer Science,Wednesday,08:55-09:45,3
Computer Science,Wednesday,10:15-11:05,2
Computer Science,Wednesday,11:10-12:00,2
Computer Science,Wednesday,13:00-14:00,1
Computer Science,Wednesday,14:00-15:00,1
Food Science and Tech,Friday,08:00-08:50,1
Food Science and Tech,Friday,08:55-09:45,2
Food Science and Tech,Friday,10:15-11:05,2
Food Science and Tech,Friday,11:10-12:00,2
Food Science and Tech,Friday,13:00-14:00,2
Food Science and Tech,Friday,14:00-15:00,1
Food Science and Tech,Friday,15:00-16:00,1
Food Science and Tech,Monday,08:00-08:50,2
Food Science and Tech,Monday,08:55-09:45,2
Food Science and Tech,Monday,10:15-11:05,2
Food Science and Tech,Monday,11:10-12:00,2
Food Science and Tech,Monday,13:00-14:00,1
Food Science and Tech,Monday,14:00-15:00,1
Food Science and Tech,Monday,15:00-16:00,1
Food Science and Tech,Thursday,08:00-08:50,1
Food Science and Tech,Thursday,08:55-09:45,2
Food Science and Tech,Thursday,10:15-11:05,2
Food Science and Tech,Thursday,11:10-12:00,2
Food Science and Tech,Thursday,13:00-14:00,1
Food Science and Tech,Thursday,14:00-15:00,1
Food Science and Tech,Thursday,15:00-16:00,1
Food Science and Tech,Tuesday,08:00-08:50,1
Food Science and Tech,Tuesday,08:55-09:45,1
Food Science and Tech,Tuesday,10:15-11:05,1
Food Science and Tech,Tuesday,11:10-12:00,2
Food Science and Tech,Tuesday,13:00-14:00,2
Food Science and Tech,Tuesday,14:00-15:00,2
Food Science and Tech,Tuesday,16:00-17:00,1
Food Science and Tech,Wednesday,08:00-08:50,1
Food Science and Tech,Wednesday,08:55-09:45,1
Food Science and Tech,Wednesday,10:15-11:05,2
Food Science and Tech,Wednesday,11:10-12:00,2
Food Science and Tech,Wednesday,13:00-14:00,2
Food Science and Tech,Wednesday,14:00-15:00,1
Forestry and Environmental Science,Friday,08:00-08:50,1
Forestry and Environmental Science,Friday,11:10-12:00,1
Forestry and Environmental Science,Friday,13:00-14:00,1
Forestry and Environmental Science,Monday,11:10-12:00,1
Forestry and Environmental Science,Monday,13:00-14:00,2
Forestry and Environmental Science,Monday,14:00-15:00,2
Forestry and Environmental Science,Thursday,08:00-08:50,5
