"","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge"
"1","Forestry and Environmental Science",0,1,0,0,"Tuesday","08:55:00","15:00:00",NA,"Practicals","EMF P","EMF","EMF P Practicals",2,"P","Practicals",1,0,1,NA
"2","Forestry and Environmental Science",0,1,0,0,"Tuesday","08:55:00","15:00:00",NA,"Practicals","EMF P","EMF","EMF P Practicals",2,"P","Practicals",1,0,1,NA
"3","Forestry and Environmental Science",0,1,0,0,"Tuesday","08:55:00","15:00:00",NA,"Practicals","EMF P","EMF","EMF P Practicals",2,"P","Practicals",1,0,1,NA
"4","Forestry and Environmental Science",0,1,0,0,"Wednesday","08:00:00","09:45:00",2,"Wood Science and Forest Based Industries","EMF 216 2.0","EMF","EMF 216 2.0 Wood Science and Forest Based Industries",2,"F1","Lecture",1,0,1,"Prof. Hiran Amarasekera"
"5","Forestry and Environmental Science",0,1,0,0,"Wednesday","08:00:00","09:45:00",2,"Wood Science and Forest Based Industries","EMF 216 2.0","EMF","EMF 216 2.0 Wood Science and Forest Based Industries",2,"F1","Lecture",1,0,1,NA
"6","Forestry and Environmental Science",0,1,0,0,"Wednesday","08:00:00","09:45:00",2,"Wood Science and Forest Based Industries","EMF 216 2.0","EMF","EMF 216 2.0 Wood Science and Forest Based Industries",2,"F1","Lecture",1,0,1,NA
"7","Forestry and Environmental Science",0,1,0,0,"Friday","11:10:00","12:00:00",1,"Principles in Hydrology and Climatology","EMF 222 1.0","EMF","EMF 222 1.0 Principles in Hydrology and Climatology",2,"F1","Lecture",1,0,1,"Dr. Thilak Chandrathilake"
"8","Forestry and Environmental Science",0,1,0,0,"Friday","11:10:00","12:00:00",1,"Principles in Hydrology and Climatology","EMF 222 1.0","EMF","EMF 222 1.0 Principles in Hydrology and Climatology",2,"F1","Lecture",1,0,1,NA
"9","Forestry and Environmental Science",0,1,0,0,"Friday","11:10:00","12:00:00",1,"Principles in Hydrology and Climatology","EMF 222 1.0","EMF","EMF 222 1.0 Principles in Hydrology and Climatology",2,"F1","Lecture",1,0,1,NA
"10","Forestry and Environmental Science",0,1,0,0,"Friday","13:00:00","14:00:00",1,"Tree Diversity and Systematics","EMF 218 1.0","EMF","EMF 218 1.0 Tree Diversity and Systematics",2,"F1","Lecture",1,0,1,"Snr. Prof. BMP Singhakumara"
"11","Forestry and Environmental Science",0,1,0,0,"Friday","13:00:00","14:00:00",1,"Tree Diversity and Systematics","EMF 218 1.0","EMF","EMF 218 1.0 Tree Diversity and Systematics",2,"F1","Lecture",1,0,1,NA
"12","Forestry and Environmental Science",0,1,0,0,"Friday","13:00:00","14:00:00",1,"Tree Diversity and Systematics","EMF 218 1.0","EMF","EMF 218 1.0 Tree Diversity and Systematics",2,"F1","Lecture",1,0,1,NA
"13","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Environmental Chemistry","EMF 102 1.0","EMF","EMF 102 1.0 Environmental Chemistry",1,"F1","Lecture",1,0,1,"Dr. Chaamila Pathirana"
"14","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Environmental Chemistry","EMF 102 1.0","EMF","EMF 102 1.0 Environmental Chemistry",1,"F1","Lecture",1,0,1,NA
"15","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Environmental Chemistry","EMF 102 1.0","EMF","EMF 102 1.0 Environmental Chemistry",1,"F1","Lecture",1,0,1,NA
"16","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Forest Biology","EMF 108 1.0","EMF","EMF 108 1.0 Forest Biology",1,"F1","Lecture",1,0,2,"Prof. Hiran Amarasekera"
"17","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Forest Biology","EMF 108 1.0","EMF","EMF 108 1.0 Forest Biology",1,"F1","Lecture",1,0,2,NA
"18","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Forest Biology","EMF 108 1.0","EMF","EMF 108 1.0 Forest Biology",1,"F1","Lecture",1,0,2,NA
"19","Forestry and Environmental Science",0,1,0,0,"Friday","08:55:00","16:00:00",NA,"Practicals","EMF P","EMF","EMF P Practicals",1,"P","Practicals",1,0,1,NA
"20","Forestry and Environmental Science",0,1,0,0,"Friday","08:55:00","16:00:00",NA,"Practicals","EMF P","EMF","EMF P Practicals",1,"P","Practicals",1,0,1,NA
"21","Forestry and Environmental Science",0,1,0,0,"Friday","08:55:00","16:00:00",NA,"Practicals","EMF P","EMF","EMF P Practicals",1,"P","Practicals",1,0,1,NA
"22","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Principles of Wildlife Ecology","EMF 117 1.0","EMF","EMF 117 1.0 Principles of Wildlife Ecology",1,"F1","Lecture",1,0,1,"Prof. Priyan Perera"
"23","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Principles of Wildlife Ecology","EMF 117 1.0","EMF","EMF 117 1.0 Principles of Wildlife Ecology",1,"F1","Lecture",1,0,1,NA
"24","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Principles of Wildlife Ecology","EMF 117 1.0","EMF","EMF 117 1.0 Principles of Wildlife Ecology",1,"F1","Lecture",1,0,1,NA
"25","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"General Geology and Soil Science","EMF 114 1.0","EMF","EMF 114 1.0 General Geology and Soil Science",1,"F1","Lecture",1,0,2,"Dr. Daham Jayawardana"
"26","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"General Geology and Soil Science","EMF 114 1.0","EMF","EMF 114 1.0 General Geology and Soil Science",1,"F1","Lecture",1,0,2,NA
"27","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"General Geology and Soil Science","EMF 114 1.0","EMF","EMF 114 1.0 General Geology and Soil Science",1,"F1","Lecture",1,0,2,NA
