Department,Physical,Bio,Food,Sports Science ,Day,Starting Time,Ending Time,Number of Credits,Course Title,Course Code,Subject Code,Academic Year,Location,Lecturer in Charge,Lecture Type,General,Special,Semester Half
Forestry and Environmental Science,0,1,0,0,Tuesday,08:55,15:00,NA,Forestry practical,EMF P,EMF,2,P,NA,Practicals,1,0,1
Forestry and Environmental Science,0,1,0,0,Wednesday,08:00,09:45,2,Wood Science and Forest Based Industries,EMF 216 2.0,EMF,2,F1,Prof. Hiran Amarasekera,Lecture,1,0,1
Forestry and Environmental Science,0,1,0,0,Friday,11:10,12:00,1,Principles in Hydrology and Climatology,EMF 222 1.0,EMF,2,F1,Dr. Thilak Chandrathilake,Lecture,1,0,1
Forestry and Environmental Science,0,1,0,0,Friday,13:00,14:00,1,Tree Diversity and Systematics,EMF 218 1.0,EMF,2,F1,Snr. Prof. BMP Singhakumara,Lecture,1,0,1
Forestry and Environmental Science,0,1,0,0,Thursday,08:00,09:45,1,Environmental Chemistry,EMF 102 1.0,EMF,1,F1,Dr. Chaamila Pathirana,Lecture,1,0,1
Forestry and Environmental Science,0,1,0,0,Thursday,08:00,09:45,1,Forest Biology,EMF 108 1.0,EMF,1,F1,Prof. Hiran Amarasekera,Lecture,1,0,2
Forestry and Environmental Science,0,1,0,0,Friday,08:55,16:00,NA,Forestry practical,EMF P,EMF,1,P,NA,Practicals,1,0,1
Forestry and Environmental Science,0,1,0,0,Tuesday,13:00,15:00,1,Principles of Wildlife Ecology,EMF 117 1.0,EMF,1,F1,Prof. Priyan Perera,Lecture,1,0,1
Forestry and Environmental Science,0,1,0,0,Tuesday,13:00,15:00,1,General Geology and Soil Science,EMF 114 1.0,EMF,1,F1,Dr. Daham Jayawardana,Lecture,1,0,2
Forestry and Environmental Science,0,1,0,0,Monday,13:00,15:00,1,Ecotourism Planning and Management,EMF 330 1.0,EMF,3,F1,Prof. Priyan Perera,Lecture,1,1,1
Forestry and Environmental Science,0,1,0,0,Monday,13:00,15:00,1,Project Planning and Analysis,EMF 331 1.0,EMF,3,F1,Prof. Prasanthi Gunawardena,Lecture,1,1,2
Forestry and Environmental Science,0,1,0,0,Tuesday,13:00,15:00,1,Integrated Resource Management,EMF 370 1.0,EMF,3,F1,Prof. Prasanthi Gunawardena,Lecture,1,1,1
Forestry and Environmental Science,0,1,0,0,Tuesday,13:00,15:00,1,Forest Management,EMF 307 1.0,EMF,3,F2,Prof. Upul Subasinghe,Lecture,1,1,2
Forestry and Environmental Science,0,1,0,0,Wednesday,08:00,09:45,1,Land Use Planning and Management,EMF 322 1.0,EMF,3,F3,Prof. Padma Weerakoon - Mr. B.A. Jayananda,Lecture,1,1,1
Forestry and Environmental Science,0,1,0,0,Thursday,13:00,15:00,1,Advanced Resource Economics,EMF 359 1.0,EMF,3,F1,Prof. Prasanthi Gunawardena,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Thursday,13:00,15:00,1,Forest Pathology and Entomology,EMF 318 1.0,EMF,3,F1,Dr. Wathsala Udari,Lecture,1,1,1
Forestry and Environmental Science,0,1,0,0,Thursday,15:00,17:00,1,Agroforestry and Social Forestry,EMF 311 1.0,EMF,3,F1,Ms. Nileththi Shilpa,Lecture,1,1,1
Forestry and Environmental Science,0,1,0,0,Monday,11:10,12:00,1,Environmental Microbiology,EMF 353 1.0,EMF,3,SP - Forestry,Snr. Prof. M. M. Pathmalal,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Tuesday,15:00,17:00,1,Research Methodology,EMF 357 1.0,EMF,3,SP - Forestry,Prof. Upul Subasinghe,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Wednesday,13:00,15:00,1,Urban Forestry,EMF 371 1.0,EMF,3,F1,Dr. Thilak Chandrathilake,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Wednesday,13:00,15:00,1,Cleaner Production and Green Technology,EMF 369 1.0,EMF,3,F1,Dr. Chaamila Pathirana,Lecture,0,1,2
Forestry and Environmental Science,0,1,0,0,Thursday,08:00,09:45,1,Indigenous Knowledge in Natural Resource Management,EMF 361 1.0,EMF,3,SP - Forestry,Prof. Danister Perera ,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Thursday,08:00,09:45,1,Green Business Development,EMF 362 1.0,EMF,3,SP - Forestry,Snr. Prof. Rohini Samarasinghe,Lecture,0,1,2
Forestry and Environmental Science,0,1,0,0,Thursday,10:15,12:00,1,Advanced Silviculture,EMF 358 1.0,EMF,3,F1,Ms. Nileththi Shilpa,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Tuesday,13:00,15:00,1,Forestry for Rural Development,EMF 459 1.0,EMF,4,SP - Forestry,Ms. Nileththi Shilpa,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Wednesday,10:15,12:00,1,Wood Based Composites,EMF 458 1.0,EMF,4,SP - Forestry,Prof. Hiran Amarasekera,Lecture,0,1,1
Forestry and Environmental Science,0,1,0,0,Wednesday,13:00,15:00,1,Land Reclamation and Soil Remediation,EMF 472 1.0,EMF,4,SP - Forestry,Dr. Daham Jayawardana,Lecture,0,1,1
